% visibilidad del sol,nro minuto,nro mes,temperatura
0.53,1029.0,5.0,14.0
0.72,799.0,11.0,29.0
0.46,842.0,6.0,11.0
0.61,1067.0,10.0,19.0
0.4,920.0,6.0,10.0
0.64,842.0,6.0,28.0
0.39,1194.0,1.0,7.0
0.64,751.0,2.0,28.0
0.95,803.0,10.0,24.0
0.08,1102.0,11.0,0.0
0.86,640.0,12.0,22.0
0.56,1015.0,2.0,16.0
0.78,849.0,10.0,20.0
0.74,1038.0,6.0,10.0
0.18,152.0,9.0,4.0
0.6,978.0,6.0,10.0
0.9,873.0,4.0,22.0
0.98,636.0,10.0,20.0
0.12,1155.0,1.0,0.0
0.69,930.0,5.0,15.0
0.96,562.0,3.0,28.0
0.62,801.0,3.0,28.0
0.44,857.0,11.0,19.0
0.71,630.0,11.0,30.0
0.72,878.0,6.0,12.0
0.16,16.0,1.0,0.0
0.62,1075.0,12.0,20.0
0.42,939.0,10.0,16.0
0.79,798.0,10.0,30.0
0.03,260.0,1.0,4.0
0.58,887.0,2.0,14.0
0.68,866.0,2.0,16.0
0.91,603.0,12.0,22.0
0.09,1097.0,9.0,9.0
0.9,597.0,6.0,29.0
0.71,555.0,4.0,28.0
0.01,1331.0,1.0,1.0
0.41,934.0,5.0,11.0
0.57,951.0,6.0,16.0
0.01,25.0,1.0,1.0
0.8,669.0,5.0,23.0
0.98,720.0,10.0,20.0
0.16,1343.0,8.0,4.0
0.23,1173.0,1.0,6.0
0.32,1254.0,1.0,9.0
0.82,840.0,4.0,23.0
0.41,855.0,10.0,20.0
0.65,774.0,5.0,29.0
0.92,842.0,5.0,22.0
0.95,594.0,12.0,24.0
0.66,865.0,5.0,15.0
0.23,1433.0,1.0,6.0
0.77,858.0,11.0,13.0
0.73,1021.0,11.0,20.0
0.89,771.0,2.0,25.0
0.92,690.0,4.0,20.0
0.59,843.0,6.0,16.0
0.52,838.0,2.0,28.0
0.2,354.0,9.0,7.0
0.11,1250.0,1.0,10.0
0.28,1148.0,8.0,3.0
0.88,887.0,10.0,24.0
0.68,987.0,11.0,13.0
0.57,852.0,10.0,23.0
0.53,858.0,2.0,25.0
0.83,800.0,6.0,26.0
0.28,406.0,9.0,1.0
0.78,1034.0,10.0,19.0
1.0,719.0,10.0,24.0
0.37,117.0,1.0,8.0
0.56,962.0,6.0,18.0
0.27,484.0,7.0,5.0
0.52,1030.0,10.0,11.0
0.25,1331.0,10.0,1.0
0.48,1068.0,11.0,17.0
0.64,1008.0,11.0,17.0
0.29,1236.0,9.0,3.0
0.97,788.0,12.0,29.0
0.79,919.0,10.0,12.0
0.4,934.0,12.0,13.0
0.57,858.0,10.0,25.0
0.3,1093.0,12.0,9.0
0.65,1001.0,10.0,20.0
0.49,967.0,6.0,14.0
0.11,359.0,12.0,7.0
0.1,525.0,1.0,7.0
0.56,672.0,11.0,29.0
0.96,693.0,4.0,27.0
0.79,809.0,10.0,24.0
0.52,1067.0,10.0,16.0
0.93,604.0,11.0,22.0
0.23,1310.0,8.0,2.0
0.93,845.0,4.0,28.0
0.49,1073.0,3.0,12.0
0.02,310.0,1.0,4.0
0.51,929.0,6.0,16.0
0.72,804.0,12.0,21.0
0.94,672.0,3.0,26.0
0.14,131.0,1.0,0.0
0.44,973.0,3.0,10.0
0.26,105.0,1.0,2.0
0.04,1355.0,7.0,8.0
0.8,739.0,10.0,25.0
0.68,685.0,11.0,29.0
0.98,865.0,12.0,25.0
0.57,696.0,3.0,22.0
0.71,1018.0,12.0,14.0
0.46,886.0,6.0,16.0
0.52,842.0,6.0,23.0
0.66,574.0,10.0,20.0
0.73,977.0,4.0,20.0
0.05,1379.0,7.0,4.0
0.99,757.0,11.0,20.0
0.87,840.0,3.0,29.0
0.73,1016.0,10.0,11.0
0.85,842.0,3.0,29.0
0.65,835.0,6.0,30.0
0.3,16.0,7.0,1.0
0.78,874.0,6.0,28.0
0.58,934.0,5.0,17.0
0.49,1071.0,11.0,17.0
0.63,1067.0,2.0,14.0
0.58,1061.0,4.0,20.0
0.38,259.0,12.0,4.0
0.79,573.0,10.0,22.0
0.65,761.0,2.0,28.0
0.68,741.0,4.0,23.0
0.58,857.0,10.0,18.0
0.07,490.0,10.0,4.0
0.56,844.0,10.0,23.0
0.71,614.0,2.0,24.0
0.09,1271.0,10.0,4.0
0.48,1033.0,2.0,14.0
0.7,1022.0,10.0,12.0
0.77,923.0,3.0,10.0
0.66,800.0,3.0,26.0
0.11,176.0,1.0,5.0
0.79,751.0,10.0,25.0
0.87,623.0,12.0,25.0
0.79,764.0,11.0,27.0
0.61,750.0,11.0,24.0
0.56,794.0,10.0,21.0
